# c0 + a0 * (|(pH * Pot) - (cDen / Pot)|) + a1 * ((pH - Pot) * (Cu % / cDen)) + a2 * ((Cu % / Pot) - (Cu % / pH)) + a3 * ((Cu %^6) * (Cu % - pH)) + a4 * cbrt(sqrt(Sn %))
# Property Label: $C2H4$; Unit of the Property: Unitless
# RMSE: 0.0134823284913564; Max AE: 0.0334524173409929
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.174756564461541e-01, -3.341237620034945e-01,  5.844441048106342e-01,  5.797202325348703e-01, -2.021115822793763e-01,  1.878241997151678e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         3|1|mult|0|1|div|abd; (|(pH * Pot) - (cDen / Pot)|); $\left(\left|\left(pH Pot\right) - \left(\frac{ cDen }{ Pot } \right)\right|\right)$; abs((pH .* Pot) - (cDen ./ Pot)); pH,Pot,cDen,Pot
# 1;  2; Unitless;                                         3|1|sub|5|0|div|mult; ((pH - Pot) * (Cu % / cDen)); $\left(\left(pH - Pot\right) \left(\frac{ Cu % }{ cDen } \right)\right)$; ((pH - Pot) .* (Cu % ./ cDen)); pH,Pot,Cu %,cDen
# 2;  2; Unitless;                                         5|1|div|5|3|div|sub; ((Cu % / Pot) - (Cu % / pH)); $\left(\left(\frac{ Cu % }{ Pot } \right) - \left(\frac{ Cu % }{ pH } \right)\right)$; ((Cu % ./ Pot) - (Cu % ./ pH)); Cu %,Pot,Cu %,pH
# 3;  2; Unitless;                                         5|sp|5|3|sub|mult; ((Cu %^6) * (Cu % - pH)); $\left(\left(Cu %^6\right) \left(Cu % - pH\right)\right)$; ((Cu %).^6 .* (Cu % - pH)); Cu %,Cu %,pH
# 4;  2; Unitless;                                         2|sqrt|cbrt; cbrt(sqrt(Sn %)); $\left(\sqrt[3]{ \left(\sqrt{ Sn % }\right) }\right)$; nthroot(sqrt(Sn %), 3); Sn %
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
1           ,  0.000000000000000e+00,  2.061014780054560e-02,  2.970618034447821e-01,  0.000000000000000e+00,  0.000000000000000e+00, -0.000000000000000e+00,  1.000000000000000e+00
2           ,  0.000000000000000e+00,  9.646624643289864e-03,  2.273801848269932e-01,  1.787234042553191e-01,  8.484848484848484e-02, -5.119999999999985e-05,  9.634924839989961e-01
3           ,  0.000000000000000e+00,  2.729710297599464e-03,  1.912677304964539e-01,  4.787234042553192e-01,  2.343750000000000e-01, -7.812500000000000e-03,  8.908987181403393e-01
4           ,  1.000000000000000e-02,  1.807210280832500e-03,  1.541981239990848e-01,  9.191489361702130e-01,  4.645161290322583e-01, -5.314410000000001e-02,  6.812920690579612e-01
5           ,  4.000000000000000e-02,  2.767269150762863e-02,  1.160756501182032e-01,  1.030851063829787e+00,  5.383333333333336e-01, -3.675459453125003e-02,  6.069622310029172e-01
6           ,  7.000000000000001e-02,  4.387779092678535e-02,  1.160756501182032e-01,  1.052553191489362e+00,  5.496666666666667e-01, -2.498916014787002e-02,  5.574255561017865e-01
7           ,  1.500000000000000e-01,  1.834524173409929e-01,  3.622087132725427e-02,  1.212765957446809e+00,  6.785714285714286e-01,  0.000000000000000e+00,  0.000000000000000e+00
8           ,  0.000000000000000e+00,  9.006401559718547e-03,  1.982860520094563e-01,  0.000000000000000e+00,  0.000000000000000e+00, -0.000000000000000e+00,  1.000000000000000e+00
9           ,  0.000000000000000e+00,  1.197125067267971e-02,  1.213761353738956e-01,  6.893617021276595e-02,  4.736842105263156e-02, -5.119999999999985e-05,  9.634924839989961e-01
10          ,  2.000000000000000e-02,  2.780956788155391e-02,  8.152833684748584e-02,  1.914893617021276e-01,  1.351351351351351e-01, -7.812500000000000e-03,  8.908987181403393e-01
11          ,  6.000000000000000e-02,  5.813317657525885e-02,  4.064880483320199e-02,  3.791489361702127e-01,  2.750000000000000e-01, -5.314410000000001e-02,  6.812920690579612e-01
12          ,  8.000000000000000e-02,  8.454850678272610e-02,  4.064880483320199e-02,  4.002127659574468e-01,  2.902777777777779e-01, -3.675459453125003e-02,  6.069622310029172e-01
13          ,  9.000000000000000e-02,  1.062553172754381e-01,  1.350894967916294e-03,  4.457872340425532e-01,  3.325714285714285e-01, -2.498916014787002e-02,  5.574255561017865e-01
14          ,  3.100000000000000e-01,  2.857123828803803e-01,  1.351211583924351e-01,  5.744680851063829e-01,  4.687500000000000e-01,  0.000000000000000e+00,  0.000000000000000e+00
15          ,  0.000000000000000e+00, -6.679140038859804e-03,  6.476441805486810e-02,  0.000000000000000e+00,  0.000000000000000e+00, -0.000000000000000e+00,  1.000000000000000e+00
16          ,  0.000000000000000e+00,  5.676152859229236e-04,  2.324665090622524e-02,  2.735562310030395e-02,  2.380952380952381e-02, -5.119999999999985e-05,  9.634924839989961e-01
17          ,  2.000000000000000e-02,  2.084030131745612e-02,  1.925849045724515e-02,  8.206686930091189e-02,  7.317073170731714e-02, -7.812500000000000e-03,  8.908987181403393e-01
18          ,  6.000000000000000e-02,  4.919955647407756e-02,  1.925849045724515e-02,  1.477203647416414e-01,  1.317073170731707e-01, -5.314410000000001e-02,  6.812920690579612e-01
19          ,  8.000000000000000e-02,  8.760487959918534e-02,  6.282505910165481e-02,  1.819148936170213e-01,  1.662500000000000e-01, -3.675459453125003e-02,  6.069622310029172e-01
20          ,  9.000000000000000e-02,  1.052034071494448e-01,  6.282505910165481e-02,  1.857446808510638e-01,  1.697500000000001e-01, -2.498916014787002e-02,  5.574255561017865e-01
21          ,  3.100000000000000e-01,  2.951697406326099e-01,  2.494746519569215e-01,  3.009118541033434e-01,  3.055555555555556e-01,  0.000000000000000e+00,  0.000000000000000e+00
22          ,  0.000000000000000e+00, -1.428738256420858e-02,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00, -0.000000000000000e+00,  1.000000000000000e+00
23          ,  0.000000000000000e+00, -7.659136629257432e-04,  4.301572617946370e-02,  4.255319148936196e-03,  4.347826086956552e-03, -5.119999999999985e-05,  9.634924839989961e-01
24          ,  2.000000000000000e-02,  1.108563170165641e-02,  4.301572617946370e-02,  1.063829787234050e-02,  1.086956521739135e-02, -7.812500000000000e-03,  8.908987181403393e-01
25          ,  3.000000000000000e-02,  4.012011103351690e-02,  8.699763593380627e-02,  3.829787234042559e-02,  4.000000000000004e-02, -5.314410000000001e-02,  6.812920690579612e-01
26          ,  6.000000000000000e-02,  6.523222319093983e-02,  8.699763593380627e-02,  4.042553191489368e-02,  4.222222222222227e-02, -3.675459453125003e-02,  6.069622310029172e-01
27          ,  1.000000000000000e-01,  9.414923750295885e-02,  1.320116054158607e-01,  6.191489361702126e-02,  6.613636363636366e-02, -2.498916014787002e-02,  5.574255561017865e-01
28          ,  2.500000000000000e-01,  2.483384052512892e-01,  2.254305977710234e-01,  1.063829787234043e-01,  1.190476190476191e-01,  0.000000000000000e+00,  0.000000000000000e+00
29          ,  0.000000000000000e+00, -4.679790497414682e-04,  1.176363165997829e-01, -0.000000000000000e+00,  0.000000000000000e+00, -0.000000000000000e+00,  1.000000000000000e+00
30          ,  0.000000000000000e+00, -2.214181619080818e-03,  1.124140943775607e-01, -1.763781762267413e-01, -1.153740648379052e-01, -2.373238434163694e-05,  9.634924839989961e-01
31          ,  1.000000000000000e-02, -9.161941249135109e-04,  1.124140943775607e-01, -4.409454405668536e-01, -2.884351620947632e-01, -1.106539145907472e-03,  8.908987181403393e-01
32          ,  1.100000000000000e-01,  1.222393471368728e-01,  1.071918721553384e-01, -7.827541820821250e-01, -5.191832917705737e-01,  1.749405427046264e-01,  6.812920690579612e-01
33          ,  2.100000000000000e-01,  1.864672419664203e-01,  9.674742771089395e-02, -8.040595718255981e-01, -5.480268079800501e-01,  2.787332418010454e-01,  6.069622310029172e-01
34          ,  2.400000000000000e-01,  2.244303691499686e-01,  9.413631659978289e-02, -8.155138941470436e-01, -5.595642144638406e-01,  3.325070099390959e-01,  5.574255561017865e-01
35          ,  3.700000000000000e-01,  3.914495272419801e-01,  9.413631659978289e-02, -8.407359733474675e-01, -5.768703241895263e-01,  4.291814946619218e-01,  0.000000000000000e+00
