# c0 + a0 * (|(Sn % / Pot) - (weight^3)|) + a1 * (|(pH * Pot) - sqrt(cDen)|) + a2 * ((pH - Pot) * (Cu % / cDen)) + a3 * ((Cu % / Pot) - (Cu % / pH)) + a4 * ((Cu %^6) * (Cu % - pH)) + a5 * (cbrt(Sn %) - cos(Cu %))
# Property Label: $C2H4$; Unit of the Property: Unitless
# RMSE: 0.00996316476891841; Max AE: 0.0199472248460496
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      a5                      c0
# all , -2.066222976907354e-01,  5.316870806624426e-01, -3.948118857569158e-01,  7.149525683414504e-01,  6.202962710143880e-01, -3.429464114810739e-01, -4.914360452691078e-03, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|1|div|4|cb|abd; (|(Sn % / Pot) - (weight^3)|); $\left(\left|\left(\frac{ Sn % }{ Pot } \right) - \left(weight^3\right)\right|\right)$; abs((Sn % ./ Pot) - (weight).^3); Sn %,Pot,weight
# 1;  2; Unitless;                                         3|1|mult|0|sqrt|abd; (|(pH * Pot) - sqrt(cDen)|); $\left(\left|\left(pH Pot\right) - \left(\sqrt{ cDen }\right)\right|\right)$; abs((pH .* Pot) - sqrt(cDen)); pH,Pot,cDen
# 2;  2; Unitless;                                         3|1|sub|5|0|div|mult; ((pH - Pot) * (Cu % / cDen)); $\left(\left(pH - Pot\right) \left(\frac{ Cu % }{ cDen } \right)\right)$; ((pH - Pot) .* (Cu % ./ cDen)); pH,Pot,Cu %,cDen
# 3;  2; Unitless;                                         5|1|div|5|3|div|sub; ((Cu % / Pot) - (Cu % / pH)); $\left(\left(\frac{ Cu % }{ Pot } \right) - \left(\frac{ Cu % }{ pH } \right)\right)$; ((Cu % ./ Pot) - (Cu % ./ pH)); Cu %,Pot,Cu %,pH
# 4;  2; Unitless;                                         5|sp|5|3|sub|mult; ((Cu %^6) * (Cu % - pH)); $\left(\left(Cu %^6\right) \left(Cu % - pH\right)\right)$; ((Cu %).^6 .* (Cu % - pH)); Cu %,Cu %,pH
# 5;  2; Unitless;                                         2|cbrt|5|cos|sub; (cbrt(Sn %) - cos(Cu %)); $\left(\left(\sqrt[3]{ Sn % }\right) - \left(\cos{ Cu % }\right)\right)$; (nthroot(Sn %, 3) - cos(Cu %)); Sn %,Cu %
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      ,  Feature 5 Value      
20          ,  9.000000000000000e-02,  1.043722107270600e-01,  1.304411286828179e-01,  3.085327390096282e-02,  1.857446808510638e-01,  1.697500000000001e-01, -2.498916014787002e-02, -2.545762805649685e-01
21          ,  3.100000000000000e-01,  3.099945708539129e-01,  1.533920106944799e-01,  1.159596568796862e-01,  3.009118541033434e-01,  3.055555555555556e-01,  0.000000000000000e+00, -5.403023058681398e-01
22          ,  0.000000000000000e+00, -4.914360452691078e-03,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00, -0.000000000000000e+00,  0.000000000000000e+00
23          ,  0.000000000000000e+00,  1.085137667027981e-02,  7.109834161903228e-02,  2.127659574468099e-02,  4.255319148936196e-03,  4.347826086956552e-03, -5.119999999999985e-05, -5.174881111868579e-02
24          ,  2.000000000000000e-02,  2.180284993067034e-02,  5.849976763807063e-02,  2.127659574468099e-02,  1.063829787234050e-02,  1.086956521739135e-02, -7.812500000000000e-03, -8.388203590627297e-02
25          ,  3.000000000000000e-02,  3.311546033167467e-02,  9.246343021311176e-02,  4.255319148936176e-02,  3.829787234042559e-02,  4.000000000000004e-02, -5.314410000000001e-02, -1.574510849093865e-01
26          ,  6.000000000000000e-02,  5.706917988967140e-02,  1.220231302350830e-01,  4.255319148936176e-02,  4.042553191489368e-02,  4.222222222222227e-02, -3.675459453125003e-02, -2.132799395998449e-01
27          ,  1.000000000000000e-01,  9.605390266404973e-02,  1.336456741373633e-01,  6.382978723404253e-02,  6.191489361702126e-02,  6.613636363636366e-02, -2.498916014787002e-02, -2.545762805649685e-01
28          ,  2.500000000000000e-01,  2.483607587030680e-01,  1.533920106944799e-01,  1.063829787234043e-01,  1.063829787234043e-01,  1.190476190476191e-01,  0.000000000000000e+00, -5.403023058681398e-01
29          ,  0.000000000000000e+00, -1.750286412755570e-03,  1.750000000000000e-01,  7.395887085843933e-02, -0.000000000000000e+00,  0.000000000000000e+00, -0.000000000000000e+00,  0.000000000000000e+00
30          ,  0.000000000000000e+00,  1.369321535149744e-03,  1.937070372712061e-01,  7.791483424314249e-02, -1.763781762267413e-01, -1.153740648379052e-01, -2.373238434163694e-05, -5.174881111868579e-02
31          ,  1.000000000000000e-02,  4.544739457093678e-03,  1.351302024206793e-01,  7.791483424314249e-02, -4.409454405668536e-01, -2.884351620947632e-01, -1.106539145907472e-03, -8.388203590627297e-02
32          ,  1.100000000000000e-01,  1.225546671561946e-01,  7.940787465755621e-02,  8.184322893109719e-02, -7.827541820821250e-01, -5.191832917705737e-01,  1.749405427046264e-01, -1.574510849093865e-01
33          ,  2.100000000000000e-01,  1.905511726373648e-01,  1.154953524573052e-01,  8.961956678795280e-02, -8.040595718255981e-01, -5.480268079800501e-01,  2.787332418010454e-01, -2.132799395998449e-01
34          ,  2.400000000000000e-01,  2.322796893661470e-01,  1.304411286828179e-01,  9.154728592317618e-02, -8.155138941470436e-01, -5.595642144638406e-01,  3.325070099390959e-01, -2.545762805649685e-01
35          ,  3.700000000000000e-01,  3.830779918665996e-01,  1.533920106944799e-01,  9.154728592317618e-02, -8.407359733474675e-01, -5.768703241895263e-01,  4.291814946619218e-01, -5.403023058681398e-01
