# c0 + a0 * (|sqrt(Sn %) - (|Cu % - Pot|)|) + a1 * (|(pH - cDen) - (Pot^6)|) + a2 * (|(cDen / pH) - cos(Pot)|) + a3 * ((Sn %^6) * (Cu % * cDen)) + a4 * (|(Cu % / cDen) - (Cu % + Pot)|) + a5 * (|sqrt(Sn %) - (cDen / pH)|)
# Property Label: $CO$; Unit of the Property: Unitless
# RMSE: 0.0270533424120616; Max AE: 0.0517438969068321
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      a5                      c0
# all ,  3.277493220571178e-01, -5.598909495281141e-01,  9.546056163094251e-01, -2.895967612298517e+00,  1.204578438049861e-01, -3.447184433917704e-01,  1.886998352450209e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|sqrt|5|1|abd|abd; (|sqrt(Sn %) - (|Cu % - Pot|)|); $\left(\left|\left(\sqrt{ Sn % }\right) - \left(\left|Cu % - Pot\right|\right)\right|\right)$; abs(sqrt(Sn %) - abs(Cu % - Pot)); Sn %,Cu %,Pot
# 1;  2; Unitless;                                         3|0|sub|1|sp|abd; (|(pH - cDen) - (Pot^6)|); $\left(\left|\left(pH - cDen\right) - \left(Pot^6\right)\right|\right)$; abs((pH - cDen) - (Pot).^6); pH,cDen,Pot
# 2;  2; Unitless;                                         0|3|div|1|cos|abd; (|(cDen / pH) - cos(Pot)|); $\left(\left|\left(\frac{ cDen }{ pH } \right) - \left(\cos{ Pot }\right)\right|\right)$; abs((cDen ./ pH) - cos(Pot)); cDen,pH,Pot
# 3;  2; Unitless;                                         2|sp|5|0|mult|mult; ((Sn %^6) * (Cu % * cDen)); $\left(\left(Sn %^6\right) \left(Cu % cDen\right)\right)$; ((Sn %).^6 .* (Cu % .* cDen)); Sn %,Cu %,cDen
# 4;  2; Unitless;                                         5|0|div|5|1|add|abd; (|(Cu % / cDen) - (Cu % + Pot)|); $\left(\left|\left(\frac{ Cu % }{ cDen } \right) - \left(Cu % + Pot\right)\right|\right)$; abs((Cu % ./ cDen) - (Cu % + Pot)); Cu %,cDen,Cu %,Pot
# 5;  2; Unitless;                                         2|sqrt|0|3|div|abd; (|sqrt(Sn %) - (cDen / pH)|); $\left(\left|\left(\sqrt{ Sn % }\right) - \left(\frac{ cDen }{ pH } \right)\right|\right)$; abs(sqrt(Sn %) - (cDen ./ pH)); Sn %,cDen,pH
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      ,  Feature 5 Value      
19          ,  1.200000000000000e-01,  1.332268376842370e-01,  1.246706275372131e-01,  1.577683313554833e-01,  1.185942396781826e-01,  1.154513888888889e-08,  5.796352583586628e-01,  5.541709800277989e-01
20          ,  5.000000000000000e-02,  9.209002254752985e-02,  5.426891054412181e-02,  1.577683313554833e-01,  1.185942396781826e-01,  5.499900000000000e-10,  5.739209726443770e-01,  6.045726970208900e-01
21          ,  1.500000000000000e-01,  9.825610309316792e-02,  2.340425531914894e-01,  2.027966243833282e-02,  5.705881822607761e-02,  0.000000000000000e+00,  4.802431610942250e-01,  7.777777777777778e-01
22          ,  1.800000000000000e-01,  1.880967301446589e-01,  0.000000000000000e+00,  1.000000000000000e+00,  4.596976941318602e-01,  0.000000000000000e+00,  1.000000000000000e+00,  0.000000000000000e+00
23          ,  1.000000000000000e-01,  8.603745330750136e-02,  1.157037867445968e-01,  8.789412407887146e-01,  4.419176980014541e-01,  5.242880000000000e-02,  9.787234042553190e-01,  1.055728090000841e-01
24          ,  1.900000000000000e-01,  1.876026722950653e-01,  2.283833769312286e-01,  8.789412407887146e-01,  4.419176980014541e-01,  7.812500000000000e-03,  9.787234042553190e-01,  2.928932188134524e-01
25          ,  1.000000000000000e-01,  1.269491430838769e-01,  2.587809575061997e-01,  7.703497306209159e-01,  4.243903325858340e-01,  9.000000000000006e-07,  9.574468085106383e-01,  6.837722339831620e-01
26          ,  1.000000000000000e-01,  8.105455700643745e-02,  2.161599892393407e-01,  7.703497306209159e-01,  4.243903325858340e-01,  1.484375000000001e-08,  9.574468085106382e-01,  7.763932022500211e-01
27          ,  5.000000000000000e-02,  7.387459010426456e-02,  1.393752935228452e-01,  6.731764450866738e-01,  4.071235321105390e-01,  7.071299999999999e-10,  9.361702127659575e-01,  8.267949192431123e-01
28          ,  9.000000000000000e-02,  5.783416943100600e-02,  1.063829787234043e-01,  5.092236843281636e-01,  3.734027695867754e-01,  0.000000000000000e+00,  8.936170212765957e-01,  1.000000000000000e+00
29          ,  2.200000000000000e-01,  2.212042061249249e-01,  1.489361702127660e-01,  1.225053815729607e-01,  1.102641698535435e-01,  0.000000000000000e+00,  8.510638297872340e-01,  4.510806317539483e-01
30          ,  1.900000000000000e-01,  1.813385778164630e-01,  2.433633612126817e-01,  1.269498260174051e-01,  1.024780795238124e-01,  1.666070755555556e-02,  4.216932004166049e-01,  3.377217324241331e-01
31          ,  2.700000000000000e-01,  2.998903478317370e-01,  3.560429513993135e-01,  1.269498260174051e-01,  1.024780795238124e-01,  2.482638888888889e-03,  2.223627436393396e-01,  1.504013226107648e-01
32          ,  3.300000000000000e-01,  3.330714173980789e-01,  2.672915958040720e-01,  1.313942704618496e-01,  9.469198919408106e-02,  2.900000000000002e-07,  1.042039618488628e+00,  2.482637828886762e-01
33          ,  2.800000000000000e-01,  2.323248470739847e-01,  1.246706275372131e-01,  1.402831593507385e-01,  7.911980853461864e-02,  4.914930555555559e-09,  1.068063686991289e+00,  3.564569318149976e-01
34          ,  1.800000000000000e-01,  1.880880691480214e-01,  5.426891054412181e-02,  1.425053815729607e-01,  7.522676336975309e-02,  2.357100000000000e-10,  1.088936170212766e+00,  4.107516939729544e-01
35          ,  1.300000000000000e-01,  1.666356848102721e-01,  1.489361702127660e-01,  1.425053815729607e-01,  7.522676336975309e-02,  0.000000000000000e+00,  1.148936170212766e+00,  5.839567747298421e-01
