# c0 + a0 * (|(pH - cDen) - (Pot^6)|) + a1 * ((Sn %^6) * (Cu % * cDen)) + a2 * (|(|Sn % - Pot|) - (exp(-1.0 * Pot))|) + a3 * (|(Cu %^6) - (|weight - cDen|)|) + a4 * ((|Pot - cDen|) / (Pot^6))
# Property Label: $CO$; Unit of the Property: Unitless
# RMSE: 0.034798435973843; Max AE: 0.0819428628455682
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -1.327086673157861e-01, -1.839947831565793e+00, -2.411112167669870e-01, -2.890421984924531e-01,  6.996071260660672e-02,  3.874641618781436e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         3|0|sub|1|sp|abd; (|(pH - cDen) - (Pot^6)|); $\left(\left|\left(pH - cDen\right) - \left(Pot^6\right)\right|\right)$; abs((pH - cDen) - (Pot).^6); pH,cDen,Pot
# 1;  2; Unitless;                                         2|sp|5|0|mult|mult; ((Sn %^6) * (Cu % * cDen)); $\left(\left(Sn %^6\right) \left(Cu % cDen\right)\right)$; ((Sn %).^6 .* (Cu % .* cDen)); Sn %,Cu %,cDen
# 2;  2; Unitless;                                         2|1|abd|1|nexp|abd; (|(|Sn % - Pot|) - (exp(-1.0 * Pot))|); $\left(\left|\left(\left|Sn % - Pot\right|\right) - \left(\exp{ \left(-Pot \right) } \right)\right|\right)$; abs(abs(Sn % - Pot) - exp(-1.0 * (Pot))); Sn %,Pot,Pot
# 3;  2; Unitless;                                         5|sp|4|0|abd|abd; (|(Cu %^6) - (|weight - cDen|)|); $\left(\left|\left(Cu %^6\right) - \left(\left|weight - cDen\right|\right)\right|\right)$; abs((Cu %).^6 - abs(weight - cDen)); Cu %,weight,cDen
# 4;  2; Unitless;                                         1|0|abd|1|sp|div; ((|Pot - cDen|) / (Pot^6)); $\left(\frac{ \left(\left|Pot - cDen\right|\right) }{ \left(Pot^6\right) } \right)$; (abs(Pot - cDen) ./ (Pot).^6); Pot,cDen,Pot
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
24          ,  1.900000000000000e-01,  1.706797044987475e-01,  8.789412407887146e-01,  7.812500000000000e-03,  1.029328789003870e-01,  2.167227381854940e-01,  2.420707409927485e-02
25          ,  1.000000000000000e-01,  1.421867697547824e-01,  7.703497306209159e-01,  9.000000000000006e-07,  4.735750746163708e-01,  1.132150712661109e-01,  5.523879583246315e-02
26          ,  1.000000000000000e-01,  7.798496651254823e-02,  7.703497306209159e-01,  1.484375000000001e-08,  5.235750746163708e-01,  2.936311880725612e-01,  5.523879583246315e-02
27          ,  5.000000000000000e-02,  7.034279668763638e-02,  6.731764450866738e-01,  7.071299999999999e-10,  5.140434875277067e-01,  3.822173928491415e-01,  9.481880671838454e-02
28          ,  9.000000000000000e-02,  6.297094004849695e-02,  5.092236843281636e-01,  0.000000000000000e+00,  4.844439360828006e-01,  5.353045236290119e-01,  2.089120793031436e-01
29          ,  2.200000000000000e-01,  2.046986981452305e-01,  1.225053815729607e-01,  0.000000000000000e+00,  2.780243067740679e-01,  6.866666666666666e-01,  1.415115432189128e+00
30          ,  1.900000000000000e-01,  1.772041068468763e-01,  1.269498260174051e-01,  1.666070755555556e-02,  3.758966471995999e-01,  5.892191269480246e-01,  1.403419235000543e+00
31          ,  2.700000000000000e-01,  3.204171448626681e-01,  1.269498260174051e-01,  2.482638888888889e-03,  7.589664719959982e-02,  4.342494840367282e-01,  1.403419235000543e+00
32          ,  3.300000000000000e-01,  3.106600135531409e-01,  1.313942704618496e-01,  2.900000000000002e-07,  3.241033528004002e-01,  2.718891509561117e-01,  1.391723037811957e+00
33          ,  2.800000000000000e-01,  2.276400008340988e-01,  1.402831593507385e-01,  4.914930555555559e-09,  3.741033528004001e-01,  5.076637042885498e-01,  1.368330643434787e+00
34          ,  1.800000000000000e-01,  1.904936083474738e-01,  1.425053815729607e-01,  2.357100000000000e-10,  3.941033528004002e-01,  6.170599503421916e-01,  1.362482544840495e+00
35          ,  1.300000000000000e-01,  1.309526353094567e-01,  1.425053815729607e-01,  0.000000000000000e+00,  4.241033528004002e-01,  7.980288097043213e-01,  1.362482544840495e+00
