# c0 + a0 * ((|Sn % - cDen|) * (|Cu % - cDen|)) + a1 * (|(exp(-1.0 * Pot)) - (Cu %^6)|) + a2 * (|cbrt(Sn %) - (weight^2)|) + a3 * (|(cDen / Pot) - (pH * Pot)|) + a4 * (|(Cu % / cDen) - (weight + Pot)|) + a5 * (|(Cu %^6) - Pot|)
# Property Label: $EtoH$; Unit of the Property: Unitless
# RMSE: 0.0287611005208686; Max AE: 0.0692914893368647
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      a5                      c0
# all ,  3.516697023069468e-01,  3.687251845185032e-01, -5.970932191479567e-01, -7.073091663701121e-01, -1.018106173107204e-01, -2.343047991878564e-01,  2.801280473445035e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|0|abd|5|0|abd|mult; ((|Sn % - cDen|) * (|Cu % - cDen|)); $\left(\left(\left|Sn % - cDen\right|\right) \left(\left|Cu % - cDen\right|\right)\right)$; (abs(Sn % - cDen) .* abs(Cu % - cDen)); Sn %,cDen,Cu %,cDen
# 1;  2; Unitless;                                         1|nexp|5|sp|abd; (|(exp(-1.0 * Pot)) - (Cu %^6)|); $\left(\left|\left(\exp{ \left(-Pot \right) } \right) - \left(Cu %^6\right)\right|\right)$; abs(exp(-1.0 * (Pot)) - (Cu %).^6); Pot,Cu %
# 2;  2; Unitless;                                         2|cbrt|4|sq|abd; (|cbrt(Sn %) - (weight^2)|); $\left(\left|\left(\sqrt[3]{ Sn % }\right) - \left(weight^2\right)\right|\right)$; abs(nthroot(Sn %, 3) - (weight).^2); Sn %,weight
# 3;  2; Unitless;                                         0|1|div|3|1|mult|abd; (|(cDen / Pot) - (pH * Pot)|); $\left(\left|\left(\frac{ cDen }{ Pot } \right) - \left(pH Pot\right)\right|\right)$; abs((cDen ./ Pot) - (pH .* Pot)); cDen,Pot,pH,Pot
# 4;  2; Unitless;                                         5|0|div|4|1|add|abd; (|(Cu % / cDen) - (weight + Pot)|); $\left(\left|\left(\frac{ Cu % }{ cDen } \right) - \left(weight + Pot\right)\right|\right)$; abs((Cu % ./ cDen) - (weight + Pot)); Cu %,cDen,weight,Pot
# 5;  2; Unitless;                                         5|sp|1|abd; (|(Cu %^6) - Pot|); $\left(\left|\left(Cu %^6\right) - Pot\right|\right)$; abs((Cu %).^6 - Pot); Cu %,Pot
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      ,  Feature 5 Value      
19          ,  3.200000000000000e-01,  3.133561248886843e-01,  1.253395061728395e-01,  3.081314136381660e-01,  5.643700307082333e-02,  6.282505910165481e-02,  1.881745558062240e-01,  1.159719391622341e-01
20          ,  4.800000000000000e-01,  4.107085106631353e-01,  1.437395061728395e-01,  4.060115279421661e-01,  9.052754443839073e-03,  6.282505910165481e-02,  1.531663605645186e-01,  1.809182485823413e-02
21          ,  1.400000000000000e-01,  1.342459704559752e-01,  1.728395061728395e-01,  5.351113882940147e-01,  2.865509330176834e-01,  2.494746519569215e-01,  1.554768472323698e-02,  2.340425531914894e-01
22          ,  0.000000000000000e+00, -2.215157163828982e-02,  0.000000000000000e+00,  3.678794411714423e-01,  0.000000000000000e+00,  0.000000000000000e+00,  2.000000000000000e+00,  1.000000000000000e+00
23          ,  0.000000000000000e+00, -1.945385597054710e-02,  1.600000000000000e-01,  3.757265253549320e-01,  1.055582818405647e-01,  4.301572617946370e-02,  1.685784308981121e+00,  9.786594042553191e-01
24          ,  2.000000000000000e-02, -4.182840812560603e-03,  2.500000000000000e-01,  3.601655253549320e-01,  2.044105309151730e-01,  4.301572617946370e-02,  1.246375666069825e+00,  9.630984042553190e-01
25          ,  7.000000000000001e-02,  6.470861027258602e-02,  8.999999999999998e-02,  1.475692661057327e-01,  1.256978133637323e-01,  8.699763593380627e-02,  6.392208797767490e-01,  4.260058085106381e-01
26          ,  2.100000000000000e-01,  2.213814788895865e-01,  4.750000000000004e-02,  3.512201567307325e-01,  5.643700307082333e-02,  8.699763593380627e-02,  5.659861059581994e-01,  2.223549178856383e-01
27          ,  2.600000000000000e-01,  2.774794200676054e-01,  2.910000000000003e-02,  4.408452796907492e-01,  9.052754443839073e-03,  1.320116054158607e-01,  5.154156006860990e-01,  1.031982078369575e-01
28          ,  1.100000000000000e-01,  9.883925356430069e-02,  0.000000000000000e+00,  5.908269148062049e-01,  2.865509330176834e-01,  2.254305977710234e-01,  4.289215449056076e-01,  1.063829787234043e-01
29          ,  0.000000000000000e+00,  4.215128221991652e-02,  2.151555555555556e-01,  4.269604769868339e-01,  0.000000000000000e+00,  1.176363165997829e-01,  1.851063829787234e+00,  8.510638297872340e-01
30          ,  0.000000000000000e+00,  6.564818841922986e-04,  5.679506172839511e-02,  4.268964769868339e-01,  1.055582818405647e-01,  1.124140943775607e-01,  1.128754105142407e+00,  8.509998297872341e-01
31          ,  2.000000000000000e-02,  4.155302538809465e-02,  3.320493827160494e-02,  4.113354769868339e-01,  2.044105309151730e-01,  1.124140943775607e-01,  4.528951817516647e-02,  8.354388297872340e-01
32          ,  4.000000000000000e-02, -4.444431686059108e-04,  1.283950617283951e-01,  1.044805230131663e-01,  1.256978133637323e-01,  1.071918721553384e-01,  1.360265547222517e+00,  3.196228297872339e-01
33          ,  1.400000000000000e-01,  1.770297835715935e-01,  1.739765432098765e-01,  3.081314136381660e-01,  5.643700307082333e-02,  9.674742771089395e-02,  1.459524389543728e+00,  1.159719391622341e-01
34          ,  2.500000000000000e-01,  2.678195875031229e-01,  1.931222222222223e-01,  4.060115279421661e-01,  9.052754443839073e-03,  9.413631659978289e-02,  1.509690782292624e+00,  1.809182485823413e-02
35          ,  1.100000000000000e-01,  1.327085817697641e-01,  2.222222222222222e-01,  5.730395230131662e-01,  2.865509330176834e-01,  9.413631659978289e-02,  1.613631646583754e+00,  1.489361702127660e-01
