# c0 + a0 * (|(exp(-1.0 * Pot)) - (Cu %^6)|) + a1 * (|cbrt(Sn %) - (weight^2)|) + a2 * (|cbrt(Sn %) - (weight * cDen)|) + a3 * (|(Pot + cDen) - (Cu % / cDen)|) + a4 * (|(Cu %^6) - Pot|)
# Property Label: $EtoH$; Unit of the Property: Unitless
# RMSE: 0.0367222969911424; Max AE: 0.093935811806993
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  3.582353274493197e-01, -4.792365108272099e-01, -3.114643670447633e-01, -9.722563066177728e-02, -2.367335884642759e-01,  3.281047382459490e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         1|nexp|5|sp|abd; (|(exp(-1.0 * Pot)) - (Cu %^6)|); $\left(\left|\left(\exp{ \left(-Pot \right) } \right) - \left(Cu %^6\right)\right|\right)$; abs(exp(-1.0 * (Pot)) - (Cu %).^6); Pot,Cu %
# 1;  2; Unitless;                                         2|cbrt|4|sq|abd; (|cbrt(Sn %) - (weight^2)|); $\left(\left|\left(\sqrt[3]{ Sn % }\right) - \left(weight^2\right)\right|\right)$; abs(nthroot(Sn %, 3) - (weight).^2); Sn %,weight
# 2;  2; Unitless;                                         2|cbrt|4|0|mult|abd; (|cbrt(Sn %) - (weight * cDen)|); $\left(\left|\left(\sqrt[3]{ Sn % }\right) - \left(weight cDen\right)\right|\right)$; abs(nthroot(Sn %, 3) - (weight .* cDen)); Sn %,weight,cDen
# 3;  2; Unitless;                                         1|0|add|5|0|div|abd; (|(Pot + cDen) - (Cu % / cDen)|); $\left(\left|\left(Pot + cDen\right) - \left(\frac{ Cu % }{ cDen } \right)\right|\right)$; abs((Pot + cDen) - (Cu % ./ cDen)); Pot,cDen,Cu %,cDen
# 4;  2; Unitless;                                         5|sp|1|abd; (|(Cu %^6) - Pot|); $\left(\left|\left(Cu %^6\right) - Pot\right|\right)$; abs((Cu %).^6 - Pot); Cu %,Pot
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
24          ,  2.000000000000000e-02, -2.071289940352625e-02,  3.601655253549320e-01,  2.044105309151730e-01,  2.604826416959383e-02,  1.478723404255319e+00,  9.630984042553190e-01
25          ,  7.000000000000001e-02,  8.043652445603852e-02,  1.475692661057327e-01,  1.256978133637323e-01,  1.176151879048328e-01,  1.057446808510638e+00,  4.260058085106381e-01
26          ,  2.100000000000000e-01,  2.170683698671587e-01,  3.512201567307325e-01,  5.643700307082333e-02,  1.901361475835226e-01,  1.007446808510638e+00,  2.223549178856383e-01
27          ,  2.600000000000000e-01,  2.890345440622725e-01,  4.408452796907492e-01,  9.052754443839073e-03,  2.385221373247557e-01,  9.661702127659575e-01,  1.031982078369575e-01
28          ,  1.100000000000000e-01,  1.236389548270102e-01,  5.908269148062049e-01,  2.865509330176834e-01,  5.353045236290119e-01,  8.936170212765957e-01,  1.063829787234043e-01
29          ,  0.000000000000000e+00, -4.749977713968877e-02,  4.269604769868339e-01,  0.000000000000000e+00,  6.866666666666666e-01,  1.164397163120567e+00,  8.510638297872340e-01
30          ,  0.000000000000000e+00, -2.282412811770825e-02,  4.268964769868339e-01,  1.055582818405647e-01,  6.400739681096898e-01,  5.394709781943828e-01,  8.509998297872341e-01
31          ,  2.000000000000000e-02, -3.084374550593428e-02,  4.113354769868339e-01,  2.044105309151730e-01,  5.497576961186013e-01,  4.045849658615617e-01,  8.354388297872340e-01
32          ,  4.000000000000000e-02, -1.404053245785052e-02,  1.044805230131663e-01,  1.256978133637323e-01,  2.766983492866423e-01,  1.619817396266406e+00,  3.196228297872339e-01
33          ,  1.400000000000000e-01,  1.628294622099051e-01,  3.081314136381660e-01,  5.643700307082333e-02,  1.834645824869572e-01,  1.686952575880178e+00,  1.159719391622341e-01
34          ,  2.500000000000000e-01,  2.574024688730410e-01,  4.060115279421661e-01,  9.052754443839073e-03,  1.276414546220054e-01,  1.725602836879433e+00,  1.809182485823413e-02
35          ,  1.100000000000000e-01,  1.287046503506846e-01,  5.730395230131662e-01,  2.865509330176834e-01,  1.784348412096706e-01,  1.815602836879433e+00,  1.489361702127660e-01
